px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.51695	-5.10893	-2.66064	2.30947	0.547573	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.87099
7.59492	-5.24401	-2.67015	2.31279	0.519091	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.382756
7.66403	-5.39875	-2.67928	2.29743	0.470937	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.532891
7.74678	-5.52728	-2.68554	2.3042	0.450865	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.175343
7.79373	-5.66658	-2.64767	2.28086	0.39598	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.634713
7.86892	-5.79965	-2.65438	2.27922	0.371673	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.241957
7.98863	-5.95576	-2.86537	2.30835	0.408957	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	5.69963
8.06684	-6.08429	-2.8728	2.3066	0.385993	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.21519
8.14099	-6.23145	-2.83575	2.28914	0.339788	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.01951
8.2314	-6.36239	-2.83997	2.2936	0.325131	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0771615
8.28354	-6.49514	-2.78498	2.27173	0.278723	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.724813
8.36377	-6.63194	-2.79033	2.26682	0.258057	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.144359
8.43207	-6.76683	-2.78739	2.25645	0.233092	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.277278
8.5171	-6.89645	-2.79028	2.25707	0.220761	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0508905
8.56732	-7.01588	-2.75797	2.23955	0.188336	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.389487
8.63644	-7.14145	-2.76322	2.23175	0.171027	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.102588
8.75228	-7.28654	-2.9181	2.25663	0.208465	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	3.20155
8.82645	-7.41964	-2.92473	2.24765	0.188999	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.131067
8.8611	-7.55429	-2.78138	2.20271	0.113885	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	4.10689
8.93591	-7.69109	-2.78487	2.19446	0.0993763	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.0690655
9.00323	-7.82326	-2.81032	2.18634	0.0899512	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.180767
9.06574	-7.95513	-2.81534	2.17324	0.0725031	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.101806
9.05989	-8.0802	-2.65165	2.1062	-0.0248028	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	4.02916
9.12337	-8.21322	-2.65378	2.09585	-0.0336391	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.0286356
9.20407	-8.34591	-2.71568	2.10469	-0.0113256	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.468516
9.25513	-8.4779	-2.72124	2.08818	-0.0267668	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.086317
9.26206	-8.61849	-2.61511	2.02337	-0.113773	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	2.32799
9.31409	-8.75385	-2.61706	2.0091	-0.121493	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.0286451
9.5275	-8.88087	-2.92943	2.1692	0.128371	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	17.9224
9.58344	-9.02634	-2.94141	2.15141	0.10544	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.193664
9.60573	-9.14888	-2.83049	2.11079	0.0437236	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.46972
9.65794	-9.28645	-2.83739	2.09548	0.026941	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.0998741
9.66717	-9.41391	-2.75861	2.04758	-0.0369007	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.37886
9.70234	-9.55892	-2.76842	2.02187	-0.0597466	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.179095
9.76881	-9.70756	-2.82633	2.02415	-0.0422078	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.50036
9.80295	-9.85576	-2.8361	1.99916	-0.0638815	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.17219
9.77984	-10.0028	-2.72778	1.91757	-0.170105	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.50444
9.81878	-10.1484	-2.72948	1.90045	-0.177456	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.0394828
