px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0.01	0.01	0.01	0	0	0	0	0	0	0.002
0.245108	-0.244722	0.00635616	0.00997407	0.01	0	0	0	0	0	0	0.583437
1.21999	-0.0233172	0.533789	0.00949507	0.00888113	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.303696
1.65467	0.0395866	1.64193	-0.036231	-0.0124081	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	1.03813
3.5775	-0.0531487	2.10504	-0.452407	-0.194082	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.148343
3.95155	0.166321	2.40997	-0.708526	-0.134174	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0.420664
6.64572	0.432776	2.68347	1.14562	1.30371	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.0699495
6.33153	0.376771	2.7708	0.711314	0.772533	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.460128
8.83159	1.04472	1.82435	0.270381	-0.16584	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.365373
8.96624	1.08438	2.26816	0.214887	-0.193002	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0.902927
11.2955	1.58287	2.58747	0.160514	-0.0748851	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.268611
11.3606	1.50075	2.61746	0.106319	-0.108004	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.149884
13.6121	2.25163	2.59645	0.344532	0.119344	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.00296901
13.6358	2.13645	2.63287	0.27607	0.0696812	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.0959956
16.3076	2.83124	3.01104	0.257686	-0.00778867	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.35548
16.2716	2.83377	2.92	0.271145	0.0070566	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.138649
18.8696	3.66354	3.08338	0.316487	0.0287338	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.0669042
18.9939	3.73805	2.93688	0.39161	0.124566	19.363	3.87122	18.923	3.74161	2.61382	0.95648	2.11581
21.3419	4.74719	2.91334	0.450556	0.0826381	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.000789181
21.463	4.75017	2.9972	0.424684	0.0657163	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.317952
24.022	5.57925	3.01677	0.289251	-0.0684419	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.00798182
